favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
44,Twitter Web Client,.@swjlv you betcha! https://t.co/SnyUeLjexY,swjlv,False,Sat Feb 11 17:09:14 +0000 2017,6,830463717934514176
41,Twitter Web Client,@cueninja @SecretService @mike_pence Trump has just insulted Mike Pence by expressing full confidence in Mike Flynn. I am worried for the VP,cueninja,False,Sat Feb 11 17:11:29 +0000 2017,25,830464285570715648
139,Twitter Web Client,"I don't know, but there is today a definitive Trump-Pence rift in that Pence blamed Flynn, Trump backs Flynn's crim… https://t.co/bVJMWqRBF2",,False,Sat Feb 11 17:12:27 +0000 2017,113,830464529951838208
267,Twitter Web Client,"Trump and Bannon are trying to get the @SecretService out of their jobs and bring in ""private security"" must not be… https://t.co/nTTwlydrD6",,False,Sat Feb 11 17:13:01 +0000 2017,281,830464668867129344
76,Twitter Web Client,"In particular, I want the @SecretService and not @KeithSchiller45 (check his likes list) anywhere near the Vice-Pre… https://t.co/IkFw72DnWo",,False,Sat Feb 11 17:13:40 +0000 2017,45,830464832814063616
95,Twitter Web Client,"@swjlv patriots on socmed helped. Many pilots, experts in GVs and G1Vs, planespotters, others in travel.",swjlv,False,Sat Feb 11 17:14:49 +0000 2017,28,830465125140353024
105,Twitter Web Client,"Yeah.
He's the mouse.

@FBI 
@CIA
@NSA
@USTreasury 
#PutinGate https://t.co/NhoxXYGoeK",,False,Sat Feb 11 17:18:13 +0000 2017,46,830465979666792448
293,Twitter Web Client,Turns out i am a sh*t-hot investigative journalist who deserves a Pulitzer. https://t.co/wKLCkcs9X2,,False,Sat Feb 11 17:20:50 +0000 2017,65,830466636893265921
86,Twitter Web Client,"The plane was N999LR.
owned by Leandro Rizutto.
sister bird, N555LR HPN-FOK-Nassau Aug 19-22nd. https://t.co/JjCvf0xglp",,False,Sat Feb 11 17:29:16 +0000 2017,52,830468760079364099
141,Twitter Web Client,".@eyeofjordan @swjlv my friend, I hunt things down and verify them. took a little while. Enjoy. Four images folks https://t.co/wffeqWRBMg",eyeofjordan,False,Sat Feb 11 17:38:57 +0000 2017,87,830471195447418883
68,Twitter Web Client,.@eyeofjordan @swjlv they can fly to Europe directly ... https://t.co/ul84UnNNPS,eyeofjordan,False,Sat Feb 11 17:43:00 +0000 2017,32,830472217259556865
87,Twitter Web Client,".@eyeofjordan @swjlv and sometimes they switch tail numbers, assigning the same number to two different planes.... https://t.co/Ceqxpow4Se",eyeofjordan,False,Sat Feb 11 17:43:54 +0000 2017,66,830472441226993664
170,Twitter Web Client,.@eyeofjordan @swjlv But your humble correspondent tracked the subsequent registrations **by the serial number of t… https://t.co/yT8JxKhBE2,eyeofjordan,False,Sat Feb 11 17:44:53 +0000 2017,87,830472689022332931
60,Twitter Web Client,.@eyeofjordan @swjlv Because I am all that and a bag of chips.,eyeofjordan,False,Sat Feb 11 17:45:12 +0000 2017,3,830472770324676609
190,Twitter Web Client,Thank you and thank you to all the patriot aviation industry pros who helped me for weeks tracking this down from o… https://t.co/x7G1zGN7ZH,,False,Sat Feb 11 17:46:32 +0000 2017,52,830473106821111808
